ECG,SpO2,Respiration
-36168.4375,7992.25,-17149.375
-36486.875,7997.5,-16863.75
-36804.9375,8072.625,-16548.25
-37122.6875,7929.3125,-16257.375
-37505.5,7994.6875,-15959.125
-37822.5625,7975.5,-15785.875
-38139.25,7939.25,-15497.625
-38390.1875,8042.0625,-15212.5
-38771.875,7993.125,-14970.375
-39022.3125,7998.125,-14729.0
-39272.5625,8056.1875,-14447.0
-39588.125,7946.5,-14257.875
-39903.5625,7929.875,-14015.625
-40087.75,7969.1875,-13834.75
-40337.3125,7887.75,-13607.625
-40652.375,7898.3125,-13403.125
-40836.1875,7896.875,-13242.5
-41150.8125,7942.5625,-13065.625
-41334.625,7902.1875,-12819.875
-41583.625,7905.0,-12655.25
-41767.125,7811.9375,-12476.125
-42016.0625,7909.75,-12292.125
-42199.5,7861.8125,-12064.0
-42382.8125,7866.875,-11900.375
-42566.1875,7940.8125,-11699.875
-42749.4375,7952.875,-11544.25
-42932.75,7990.9375,-11228.375
-43050.5,8024.0,-10909.25
-43233.6875,8019.0625,-10742.875
-43416.9375,7977.25,-10461.25
-43534.75,7972.375,-10174.375
-43718.0625,7994.5625,-9951.5
-43835.75,8022.5,-9757.375
-44018.9375,7941.6875,-9552.125
-44202.0,7929.75,-9372.75
-44319.5,7877.8125,-9165.75
-44502.375,7796.125,-9061.375
-44619.8125,7817.1875,-8764.75
-44802.5625,7823.25,-8603.75
-44919.75,7838.3125,-8381.375
-45102.3125,7853.375,-8106.25
-45219.25,7815.4375,-7985.875
-45336.25,7826.25,-7807.125
-45518.4375,7777.3125,-7803.5
-45700.5,7655.375,-7945.0
-45882.125,7497.6875,-8309.625
-45998.25,7368.25,-8951.75
-46179.6875,7065.5,-9919.0
-46426.3125,6673.1875,-11562.125
-46607.0625,6101.6875,-14117.5
-46787.5,5196.75,-18301.0
-46967.75,4075.4375,-22852.75
-47213.1875,3192.6875,-26694.75
-47458.1875,2496.1875,-29348.875
-47702.875,1873.375,-31132.25
-47881.5,1704.6875,-32022.875
-48125.4375,1705.0625,-32523.5
-48368.875,1633.5625,-32655.5
-48611.9375,1665.0625,-32518.125
-48854.5,1684.625,-32168.375
-49096.625,1717.1875,-31938.5
-49403.6875,1774.8125,-31483.625
-49644.875,1799.4375,-31106.625
-49885.625,1811.1875,-30704.5
-50191.375,1910.0,-30324.875
-50431.1875,1984.8125,-29943.125
-50670.4375,1984.6875,-29590.25
-50974.8125,1974.5625,-29263.5
-51213.125,2011.1875,-28866.25
-51451.0625,2090.6875,-28522.75
-51754.0625,2131.25,-28218.5
-51991.0625,2185.75,-27826.75
-52227.625,2080.9375,-27544.125
-52463.8125,2229.8125,-27228.375
-52765.0,2244.5625,-26965.25
-53000.25,2288.875,-26663.25
-53235.25,2293.875,-26351.5
-53404.3125,2389.6875,-26033.5
-53638.5625,2470.125,-25734.75
-53872.5,2491.375,-25581.25
-54040.5,2607.0625,-25375.125
-54273.8125,2637.1875,-25293.875
-54441.1875,2591.9375,-25119.0
-54608.375,2650.1875,-24971.0
-54775.3125,2610.125,-24866.625
-54941.9375,2620.5625,-24676.25
-55108.375,2690.3125,-24523.875
-55209.1875,2663.75,-24378.625
-55375.3125,2658.625,-24259.875
-55475.8125,2652.9375,-24083.0
-55510.75,2620.8125,-23862.25
-55611.1875,2632.125,-23578.25
-55645.9375,2611.875,-23275.0
-55680.75,2608.125,-23059.25
-55781.125,2654.625,-22720.875
-55685.0,2655.6875,-22515.0
-55719.9375,2742.9375,-22158.125
-55689.5,2670.75,-21965.375
-55659.0625,2729.8125,-21664.625
-55497.875,2752.25,-21270.125
-55467.8125,2855.9375,-20866.25
-55372.4375,2852.875,-20617.0
-55277.4375,2867.0625,-20245.0
-55117.0625,2943.5,-19896.0
-54957.0,3017.25,-19605.125
-54797.125,3149.1875,-19254.5
-54572.125,3210.1875,-18986.625
-54413.0,3230.375,-18699.0
-54188.6875,3364.625,-18407.25
-53964.5625,3351.9375,-18116.5
-53741.0625,3426.3125,-17824.0
-53452.3125,3431.5625,-17557.25
-53164.0,3393.875,-17306.25
-52876.0625,3400.375,-17026.75
-52588.625,3454.75,-16790.25
-52301.5625,3496.9375,-16430.5
-52015.0,3502.3125,-16247.0
-51663.375,3585.5,-15905.0
-51312.1875,3549.0,-15608.125
-50961.4375,3623.625,-15349.125
-50611.3125,3548.625,-15110.25
-50261.5625,3653.625,-14870.0
-49912.25,3622.875,-14601.0
-49563.375,3650.5,-14375.5
-49149.5,3632.5,-14081.875
-48801.75,3685.0,-13836.5
-48388.9375,3649.9375,-13521.0
-48042.0625,3741.125,-13235.5
-47630.25,3765.625,-12967.0
